Title,Description,Director,Actors,Entidades
Knock Knock,"A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",Eli Roth,"Keanu Reeves, Lorenza Izzo, Ana de Armas, Aaron Burns","['a devoted father', 'eli roth', 'keanu reeves', 'lorenza izzo', 'ana de armas', 'aaron burns']"
Dirty Grandpa,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant-Colonel, to Florida for spring break.",Dan Mazer,"Robert De Niro, Zac Efron, Zoey Deutch, Aubrey Plaza","['uptight guy', 'florida', 'lecherous former army lieutenant-colonel', 'dan mazer', 'robert de niro', 'zac efron', 'zoey deutch', 'aubrey plaza']"
Cloud Atlas,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",Tom Tykwer,"Tom Hanks, Halle Berry, Hugh Grant, Hugo Weaving","['future', 'killer', 'revolution', 'past', 'present', 'hero', 'centuries', 'tom tykwer', 'tom hanks', 'halle berry', 'hugh grant', 'hugo weaving']"
X-Men Origins: Wolverine,"A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years.",Gavin Hood,"Hugh Jackman, Liev Schreiber, Ryan Reynolds, Danny Huston","['wolverine', 'later years', 'gavin hood', 'hugh jackman', 'liev schreiber', 'ryan reynolds', 'danny huston']"
Satanic,"Four friends on their way to Coachella stop off in Los Angeles to tour true-crime occult sites, only to encounter a mysterious young runaway who puts them on a terrifying path to ultimate horror.",Jeffrey G. Hunt,"Sarah Hyland, Steven Krueger, Justin Chon, Clara Mamet","['mysterious young runaway', 'los angeles', 'ultimate horror', 'four friends', 'coachella', 'jeffrey g. hunt', 'sarah hyland', 'steven krueger', 'justin chon', 'clara mamet']"
Skyfall,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",Sam Mendes,"Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench","['bond', '007', 'past', 'm', 'sam mendes', 'daniel craig', 'javier bardem', 'naomie harris', 'judi dench']"
The Hobbit: An Unexpected Journey,"A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug.",Peter Jackson,"Martin Freeman, Ian McKellen, Richard Armitage,Andy Serkis","['lonely mountain', 'bilbo baggins', 'peter jackson', 'martin freeman', 'ian mckellen', 'richard armitage,andy serkis']"
21 Jump Street,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,Phil Lord,"Jonah Hill, Channing Tatum, Ice Cube,Brie Larson","['a pair of underachieving cops', 'local high school', 'phil lord', 'jonah hill', 'channing tatum', 'ice cube,brie larson']"
Sing Street,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,John Carney,"Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy, Jack Reynor","['a boy', '1980s', 'dublin', 'john carney', 'ferdia walsh-peelo', 'aidan gillen', 'maria doyle kennedy', 'jack reynor']"
Ballerina,"An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house.",Eric Summer,"Elle Fanning, Dane DeHaan, Carly Rae Jepsen, Maddie Ziegler","['ballerina', 'an orphan girl', 'grand opera house', 'paris', 'brittany', 'eric summer', 'elle fanning', 'dane dehaan', 'carly rae jepsen', 'maddie ziegler']"
Oblivion,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.,Joseph Kosinski,"Tom Cruise, Morgan Freeman, Andrea Riseborough, Olga Kurylenko","['earth', 'a veteran', 'joseph kosinski', 'tom cruise', 'morgan freeman', 'andrea riseborough', 'olga kurylenko']"
22 Jump Street,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",Phil Lord,"Channing Tatum, Jonah Hill, Ice Cube,Nick Offerman","['local college', 'jenko', 'high school', 'schmidt', 'phil lord', 'channing tatum', 'jonah hill', 'ice cube,nick offerman']"
Zodiac,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",David Fincher,"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo,Anthony Edwards","['san francisco', 'northern california', 'zodiac killer', 'early 1970s', 'amateur detective', 'late 1960s', 'david fincher', 'jake gyllenhaal', 'robert downey jr.', 'mark ruffalo,anthony edwards']"
Everybody Wants Some!!,"In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.",Richard Linklater,"Blake Jenner, Tyler Hoechlin, Ryan Guzman,Zoey Deutch","['1980', 'unsupervised adulthood', 'richard linklater', 'blake jenner', 'tyler hoechlin', 'ryan guzman,zoey deutch']"
Iron Man Three,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Shane Black,"Robert Downey Jr., Guy Pearce, Gwyneth Paltrow,Don Cheadle","['tony stark', 'world', 'shane black', 'robert downey jr.', 'guy pearce', 'gwyneth paltrow,don cheadle']"
Now You See Me,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,Louis Leterrier,"Jesse Eisenberg, Common, Mark Ruffalo, Woody Harrelson","['an fbi agent', 'louis leterrier', 'jesse eisenberg', 'common', 'mark ruffalo', 'woody harrelson']"
Sherlock Holmes,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong","['watson', 'sherlock holmes', 'england', 'nemesis', 'guy ritchie', 'robert downey jr.', 'jude law', 'rachel mcadams', 'mark strong']"
Death Proof,"Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.",Quentin Tarantino,"Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito","['scarred stuntman', 'quentin tarantino', 'kurt russell', 'zoe bell', 'rosario dawson', 'vanessa ferlito']"
The Danish Girl,A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,Tom Hooper,"Eddie Redmayne, Alicia Vikander, Amber Heard, Ben Whishaw","['danish', 'gerda wegener', 'lili elbe', 'tom hooper', 'eddie redmayne', 'alicia vikander', 'amber heard', 'ben whishaw']"
Hercules,"Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord.",Brett Ratner,"Dwayne Johnson, John Hurt, Ian McShane, Joseph Fiennes","['hercules', 'brett ratner', 'dwayne johnson', 'john hurt', 'ian mcshane', 'joseph fiennes']"
Sucker Punch,"A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape.",Zack Snyder,"Emily Browning, Vanessa Hudgens, Abbie Cornish,Jena Malone","['a young girl', 'abusive stepfather', 'alternative reality', 'zack snyder', 'emily browning', 'vanessa hudgens', 'abbie cornish,jena malone']"
Keeping Up with the Joneses,A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.,Greg Mottola,"Zach Galifianakis, Isla Fisher, Jon Hamm, Gal Gadot","['greg mottola', 'zach galifianakis', 'isla fisher', 'jon hamm', 'gal gadot']"
Jupiter Ascending,A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,Lana Wachowski,"Channing Tatum, Mila Kunis,Eddie Redmayne, Sean Bean","['earth', 'heiress', 'intergalactic nobility', 'a young woman', 'lana wachowski', 'channing tatum', 'mila kunis,eddie redmayne', 'sean bean']"
Masterminds,A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.,Jared Hess,"Zach Galifianakis, Kristen Wiig, Owen Wilson, Ross Kimball","['october 1997', 'loomis fargo robbery', 'southern u.s.', 'jared hess', 'zach galifianakis', 'kristen wiig', 'owen wilson', 'ross kimball']"
Iris,"Iris, young wife of a businessman, disappears in Paris. Maybe a mechanic with many debts is involved in the strange affair. A really complicated job for the police.",Jalil Lespert,"Romain Duris, Charlotte Le Bon, Jalil Lespert, Camille Cottin","['mechanic', 'paris', 'iris', 'businessman', 'jalil lespert', 'romain duris', 'charlotte le bon', 'jalil lespert', 'camille cottin']"
Busanhaeng,"While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",Sang-ho Yeon,"Yoo Gong, Soo-an Kim, Yu-mi Jung, Dong-seok Ma","['south korea', 'seoul', 'busan', 'passengers', 'sang-ho yeon', 'yoo gong', 'soo-an kim', 'yu-mi jung', 'dong-seok ma']"
Pitch Perfect,"Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.",Jason Moore,"Anna Kendrick, Brittany Snow, Rebel Wilson, Anna Camp","['beca', 'barden university', 'the bellas', 'jason moore', 'anna kendrick', 'brittany snow', 'rebel wilson', 'anna camp']"
Neighbors 2: Sorority Rising,"When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down.",Nicholas Stoller,"Seth Rogen, Rose Byrne, Zac Efron, Chloë Grace Moretz","['mac', 'kelly', 'teddy', 'nicholas stoller', 'seth rogen', 'rose byrne', 'zac efron', 'chloe grace moretz']"
The Exception,"A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation.",David Leveaux,"Lily James, Jai Courtney, Christopher Plummer, Loïs van Wijk","['world war ii', 'a german soldier', 'kaiser wilhelm', 'spy', 'holland', 'young jewish dutch woman', 'david leveaux', 'lily james', 'jai courtney', 'christopher plummer', 'lois van wijk']"
Man of Steel,"Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.",Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane","['earth', 'clark kent', 'planet', 'zack snyder', 'henry cavill', 'amy adams', 'michael shannon', 'diane lane']"
The Choice,Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.,Ross Katz,"Benjamin Walker, Teresa Palmer, Alexandra Daddario,Maggie Grace","['gabby', ""life's most defining events"", 'small coastal town', 'travis', 'ross katz', 'benjamin walker', 'teresa palmer', 'alexandra daddario,maggie grace']"
Ice Age: Collision Course,"Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world.",Mike Thurmeier,"Ray Romano, Denis Leary, John Leguizamo, Chris Wedge","['world', 'diego', 'manny', 'sid', 'buck', 'meteor strike', 'mike thurmeier', 'ray romano', 'denis leary', 'john leguizamo', 'chris wedge']"
The Devil Wears Prada,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.",David Frankel,"Anne Hathaway, Meryl Streep, Adrian Grenier, Emily Blunt","['new graduate', 'miranda priestly', 'high fashion magazine', 'david frankel', 'anne hathaway', 'meryl streep', 'adrian grenier', 'emily blunt']"
The Infiltrator,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,Brad Furman,"Bryan Cranston, John Leguizamo, Diane Kruger, Amy Ryan","['pablo escobar', 'customs official', 'colombian', 'u.s.', 'brad furman', 'bryan cranston', 'john leguizamo', 'diane kruger', 'amy ryan']"
There Will Be Blood,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano, Ciarán Hinds,Martin Stringer","['turn-of-the-century', 'paul thomas anderson', 'daniel day-lewis', 'paul dano', 'ciaran hinds,martin stringer']"
The Equalizer,"A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her.",Antoine Fuqua,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour","['he', 'a man', 'young girl', 'antoine fuqua', 'denzel washington', 'marton csokas', 'chloe grace moretz', 'david harbour']"
Lone Survivor,"Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",Peter Berg,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch, Ben Foster","['marcus luttrell', 'marcus', 'late june 2005', 'ahmad shah', 'peter berg', 'mark wahlberg', 'taylor kitsch', 'emile hirsch', 'ben foster']"
The Cabin in the Woods,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",Drew Goddard,"Kristen Connolly, Chris Hemsworth, Anna Hutchison,Fran Kranz","['five friends', 'cabin', 'woods', 'drew goddard', 'kristen connolly', 'chris hemsworth', 'anna hutchison,fran kranz']"
The House Bunny,"After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls.",Fred Wolf,"Anna Faris, Colin Hanks, Emma Stone, Kat Dennings","['shelley', 'playboy bunny', 'playboy mansion', 'fred wolf', 'anna faris', 'colin hanks', 'emma stone', 'kat dennings']"
She's Out of My League,"An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.",Jim Field Smith,"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel","['an average joe', 'jim field smith', 'jay baruchel', 'alice eve', 't.j. miller', 'mike vogel']"
Inherent Vice,"In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.",Paul Thomas Anderson,"Joaquin Phoenix, Josh Brolin, Owen Wilson,Katherine Waterston","['1970', 'los angeles', 'former girlfriend', 'larry ""doc"" sportello', 'paul thomas anderson', 'joaquin phoenix', 'josh brolin', 'owen wilson,katherine waterston']"
Alice Through the Looking Glass,Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,James Bobin,"Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway","['alice', 'mad hatter', 'wonderland', 'james bobin', 'mia wasikowska', 'johnny depp', 'helena bonham carter', 'anne hathaway']"
